ramq_id,id,google_place_name,address,locality,country,administrative_area_level_1,administrative_area_level_2,international_phone_number,fax_number,type,website,latitude,longitude,added_time,place_type,is_fax_enabled
0077X,ChIJc_hfxn6tIE0Rz6wItmfvifM,Hôpital en santé mentale et CLSC de Malartic,"1141 Rue Royale, Malartic, QC J0Y 1Z0, Canada",Malartic,CA,QC,J0Y 1Z0,+1 819-825-5858,,hospital,https://www.sante.gouv.qc.ca/en/repertoire-ressources/ressource/?nofiche=954,48.14122889999999,-78.1286676,1745790598,hospital,0
0150X,ChIJ8_e2nZGSIE0RQHTMxFaGFwk,Hôpital d’Amos,"622 4e Rue O, Amos, QC J9T 2S2, Canada",Amos,CA,QC,J9T 2S2,+1 819-732-3341,,hospital,http://www.sante.gouv.qc.ca/en/repertoire-ressources/ressource/?nofiche=1208,48.5747602,-78.1254891,1745790598,hospital,0
0152X,ChIJA0oPPnh5IU0R6oY1vw_EGAY,Centre Hospitalier De La Sarre,"679 2e Rue E, La Sarre, QC J9Z 2X7, Canada",La Sarre,CA,QC,J9Z 2X7,+1 819-333-2311,,hospital,http://www.sante.gouv.qc.ca/en/repertoire-ressources/ressource/?nofiche=699,48.7864561,-79.198577,1745790598,hospital,0
0153X,ChIJF41xFJozIU0R751OraSgjMc,Hospital of Rouyn-Noranda - Juteau-Lemay Building,"4 9e Rue, Rouyn-Noranda, QC J9X 2B2, Canada",Rouyn-Noranda,CA,QC,J9X 2B2,+1 819-764-5131,,hospital,https://www.cisss-at.gouv.qc.ca/,48.2435816,-79.0194841,1745790598,hospital,0
0154X,ChIJZxWIxxFT30wR3OYQ6a73BHU,Hôpital de Val-d’Or,"725 6e Rue, Val-d'Or, QC J9P 3Y1, Canada",Val-d'Or,CA,QC,J9P 3Y1,+1 819-825-5858,,hospital,http://www.cisss-at.gouv.qc.ca/,48.0966532,-77.7964539,1745790598,hospital,0
0155X,ChIJK40IRaJBJk0RFifVvlYtO9s,Centre de Santé et de services sociaux du Lac-Témiscamingue,"22 Rue Notre Dame N, Ville-Marie, QC J9V 1W8, Canada",Ville-Marie,CA,QC,J9V 1W8,+1 819-629-2420,,hospital,https://www.cisss-at.gouv.qc.ca/,47.33327469999999,-79.44437010000001,1745790598,hospital,0
0460X,ChIJz7wEMWNzIU0RkDFq_Z-RSZk,Clsc,"169 7e Avenue E, Macamic, QC J0Z 2S0, Canada",Macamic,CA,QC,J0Z 2S0,+1 819-782-4661,,hospital,,48.7531887,-78.9836365,1745790598,hospital,0
0782X,ChIJG9BybJIW30wRPg2udXmJYmQ,Centre de santé de Senneterre,"961 Rue de la Clinique, Senneterre, QC J0Y 2M0, Canada",Senneterre,CA,QC,J0Y 2M0,+1 819-825-5858,,hospital,http://www.cisss-at.gouv.qc.ca/,48.3845597,-77.2529078,1745790598,hospital,0
0817X,ChIJeVHjVGlvKE0RClSEYMXjQiU,Info-Sante Clsc-Cs,"Temiscaming, QC J0Z 3R0, Canada",Temiscaming,CA,QC,J0Z 3R0,,,hospital,,46.718235,-79.10011999999999,1745790598,hospital,0
10115,ChIJRYnrMgAzIU0RgjTZQP2PuNk,Maison des aînés et alternative de Rouyn-Noranda (2022),"1155 Rue Perreault E, Rouyn-Noranda, QC J9X 0G8, Canada",Rouyn-Noranda,CA,QC,J9X 0G8,+1 873-475-0168,,pharmacy,,48.238421,-78.98974199999999,1745790598,pharmacy,0
10815,ChIJGwan-xp5IU0RG6dJ6F0NaFg,CHSLD,"22 1e Avenue East, La Sarre, QC J9Z 1C4, Canada",La Sarre,CA,QC,J9Z 1C4,+1 819-333-5525,,hospital,,48.810184,-79.203558,1745790598,hospital,0
10923,ChIJAQUmThtT30wRuXaB7nwmdjE,Centre jeunesse de l'Abitibi-Témiscamingue,"700 Bd Forest, Val-d'Or, QC J9P 2L3, Canada",Val-d'Or,CA,QC,J9P 2L3,+1 819-825-0002,,clinic,,48.0980776,-77.7886558,1745790598,clinic,0
10933,ChIJmZlgfpCSIE0RVFvdGV_BiHA,Clair Foyer Inc,"841 3e Rue O, Amos, QC J9T 2T4, Canada",Amos,CA,QC,J9T 2T4,+1 819-732-6511,,hospital,,48.57726009999999,-78.1249801,1745790598,hospital,0
11045,ChIJhXPDAn-tIE0R6MfmAuivcJQ,Centre d'hébergement de Malartic,"987 Rue des Pins, Malartic, QC J0Y 1Z0, Canada",Malartic,CA,QC,J0Y 1Z0,+1 819-825-5858,,hospital,,48.141509,-78.128411,1745790598,hospital,0
11515,ChIJ_TF6bAszIU0Rhxdnzv3otk0,CHSLD Pie-XII,"512 Av. Richard, Rouyn-Noranda, QC J9X 4M1, Canada",Rouyn-Noranda,CA,QC,J9X 4M1,+1 819-762-0908,,hospital,,48.2286639,-79.01563329999999,1745790598,hospital,0
12395,ChIJNciuj4uSIE0RDsg7d4h-UZA,CLSC/CHSLD Les Eskers - CLSC De L'Elan,"632 1re Rue O, Amos, QC J9T 2N2, Canada",Amos,CA,QC,J9T 2N2,+1 819-732-3271,,hospital,http://www.cisss-at.gouv.qc.ca/,48.5737767,-78.1180385,1745790598,hospital,0
12415,ChIJLb80xg1T30wRJA6BY4Ly6eE,Centre d'hébergement de Val-d'Or,"1212 Av. Brébeuf, Val-d'Or, QC J9P 2C9, Canada",Val-d'Or,CA,QC,J9P 2C9,+1 819-825-5858,,hospital,,48.1018506,-77.7986511,1745790598,hospital,0
12425,ChIJxcjLBGZlIU0RKRjNQ3CPtQg,CLSC Palmarolle,"124 Rue Principale, Palmarolle, QC J0Z 3C0, Canada",Palmarolle,CA,QC,J0Z 3C0,+1 819-787-2216,,hospital,http://www.sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=471732,48.6635934,-79.1998285,1745790598,hospital,0
14933,ChIJuRgL6nIzIU0Ruq9e0oKICvk,Centre De Readaptation La Maison,"100 Chemin Dr Lemay, Rouyn-Noranda, QC J9X 5T2, Canada",Rouyn-Noranda,CA,QC,J9X 5T2,+1 819-762-6592,,hospital,https://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=198&ch_type=&bt_rechType=&theme=autres-ressources&ch_choixReg=&ch_rayon=0&ch_code=&page=310,48.2253979,-79.02105949999999,1745790598,hospital,0
15185,ChIJi-eoKwhBJk0RtpxvFiy2xqY,Pavillon Duhamel,"37 SAINT-JEAN-BAPTIST RUE, Ville-Marie, QC J9V 2A9, Canada",Ville-Marie,CA,QC,J9V 2A9,+1 819-629-3027,,hospital,,47.3272317,-79.43785629999999,1745790598,hospital,0
15943,ChIJVcJU5JGSIE0R5UhTfd3fVtA,Centre Normand,"621 Rue de l'Harricana, Amos, QC J9T 2P9, Canada",Amos,CA,QC,J9T 2P9,+1 819-732-8241,,hospital,,48.574533,-78.123442,1745790598,hospital,0
18513,ChIJxfGxFZozIU0RqDMvuhj8JI4,CLSC,"1 9e Rue, Rouyn-Noranda, QC J9X 2A9, Canada",Rouyn-Noranda,CA,QC,J9X 2A9,+1 819-762-8144,,hospital,https://www.cisss-at.gouv.qc.ca/nos-installations/,48.24334989999999,-79.0209175,1745790598,hospital,0
18563,ChIJi8jXPjlT30wRPM-9lC1o4yg,CLSC de Val-d'Or,"725 6e Rue, Val-d'Or, QC J9P 3Y1, Canada",Val-d'Or,CA,QC,J9P 3Y1,+1 819-825-5858,,hospital,https://www.cisss-at.gouv.qc.ca/nos-installatio,48.09591169999999,-77.7966024,1745790598,hospital,0
19485,ChIJ16qdFBFT30wRK9OSIIT4VPM,735 6e Rue,"735 6e Rue, Val-d'Or, QC J9P 3Y1, Canada",Val-d'Or,CA,QC,J9P 3Y1,,,pharmacy,,48.0958801,-77.7981868,1745790598,pharmacy,0
19495,ChIJmZlgfpCSIE0RVFvdGV_BiHA,Clair Foyer Inc,"841 3e Rue O, Amos, QC J9T 2T4, Canada",Amos,CA,QC,J9T 2T4,+1 819-732-6511,,hospital,,48.57726009999999,-78.1249801,1745790598,hospital,0
19565,ChIJAQDAbpGSIE0RoejMW6E6ONU,Les Sources,"641 4e Rue O, Amos, QC J9T 2S1, Canada",Amos,CA,QC,J9T 2S1,+1 819-732-0581,,hospital,http://carrefoursantelessources.com/,48.5749068,-78.12689499999999,1745790598,hospital,0
19893,ChIJfQEamAxT30wRTCvC5kEGOr0,Centre De Réadaptation La Maison,"975 Rue Germain, Val-d'Or, QC J9P 7H7, Canada",Val-d'Or,CA,QC,J9P 7H7,+1 819-825-3337,,hospital,https://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=198&ch_type=&bt_rechType=&theme=autres-ressources&ch_choixReg=&ch_rayon=0&ch_code=&page=310,48.10190559999999,-77.8015571,1745790598,hospital,0
19995,ChIJEwFLKQBT30wRBiHFjopfvn4,Maison des aînés et alternative de Val-d'Or,"1030 Av. des Érables, Val-d'Or, QC J9P 0R5, Canada",Val-d'Or,CA,QC,J9P 0R5,+1 873-476-0150,,hospital,,48.09472419999999,-77.797958,1745790598,hospital,0
41500,ChIJ8_e2nZGSIE0RQHTMxFaGFwk,Hôpital d’Amos,"622 4e Rue O, Amos, QC J9T 2S2, Canada",Amos,CA,QC,J9T 2S2,+1 819-732-3341,,hospital,http://www.sante.gouv.qc.ca/en/repertoire-ressources/ressource/?nofiche=1208,48.5747602,-78.1254891,1745790598,hospital,0
41506,ChIJ8_e2nZGSIE0RQHTMxFaGFwk,Hôpital d’Amos,"622 4e Rue O, Amos, QC J9T 2S2, Canada",Amos,CA,QC,J9T 2S2,+1 819-732-3341,,hospital,http://www.sante.gouv.qc.ca/en/repertoire-ressources/ressource/?nofiche=1208,48.5747602,-78.1254891,1745790598,hospital,0
41520,ChIJA0oPPnh5IU0R6oY1vw_EGAY,Centre Hospitalier De La Sarre,"679 2e Rue E, La Sarre, QC J9Z 2X7, Canada",La Sarre,CA,QC,J9Z 2X7,+1 819-333-2311,,hospital,http://www.sante.gouv.qc.ca/en/repertoire-ressources/ressource/?nofiche=699,48.7864561,-79.198577,1745790598,hospital,0
41530,ChIJF41xFJozIU0R751OraSgjMc,Hospital of Rouyn-Noranda - Juteau-Lemay Building,"4 9e Rue, Rouyn-Noranda, QC J9X 2B2, Canada",Rouyn-Noranda,CA,QC,J9X 2B2,+1 819-764-5131,,hospital,https://www.cisss-at.gouv.qc.ca/,48.2435816,-79.0194841,1745790598,hospital,0
41531,ChIJF41xFJozIU0R751OraSgjMc,Hospital of Rouyn-Noranda - Juteau-Lemay Building,"4 9e Rue, Rouyn-Noranda, QC J9X 2B2, Canada",Rouyn-Noranda,CA,QC,J9X 2B2,+1 819-764-5131,,hospital,https://www.cisss-at.gouv.qc.ca/,48.2435816,-79.0194841,1745790598,hospital,0
