region,code,name,address,categories,id,admin_user_id,locality,country,administrative_area_level_1,administrative_area_level_2,international_phone_number,fax_number,type,website,latitude,longitude,added_time,place_type,is_fax_enabled
Abitibi Temiscamingue,0077X,HOPITAL PSYCHIATRIQUE DE MALARTIC,"1141 RUE ROYALE CP 800, MALARTIC, QC, J0Y 1Z0","1,3,6,8",ChIJc_hfxn6tIE0Rz6wItmfvifM,,Malartic,CA,QC,J0Y 1Z0,+1 819-825-5858,,hospital,https://www.sante.gouv.qc.ca/en/repertoire-ressources/ressource/?nofiche=954,48.14122889999999,-78.1286676,1745782710,hospital,0
Abitibi Temiscamingue,0150X,HOPITAL D'AMOS,"622 4E RUE O, AMOS, QC, J9T 2S2","0,1,2,3,4,6,7,8",,,,,,,,,,,,,,,
Abitibi Temiscamingue,0152X,CENTRE MULTI SSS DE LA SARRE,"679 2E RUE CP 6000, LA SARRE, QC, J9Z 2X7","1,2,3,4,6,7,8",ChIJA0oPPnh5IU0R6oY1vw_EGAY,,La Sarre,CA,QC,J9Z 2X7,+1 819-333-2311,,hospital,http://www.sante.gouv.qc.ca/en/repertoire-ressources/ressource/?nofiche=699,48.7864561,-79.198577,1745782710,hospital,0
Abitibi Temiscamingue,0153X,HOPITAL DE ROUYN-NORANDA,"4 9E RUE, ROUYN-NORANDA, QC, J9X 2B2","0,1,2,3,4,6,7,8",ChIJRYnrMgAzIU0RgjTZQP2PuNk,,Rouyn-Noranda,CA,QC,J9X 0G8,+1 873-475-0168,,pharmacy,,48.238421,-78.98974199999999,1745782710,pharmacy,0
Abitibi Temiscamingue,0154X,HOPITAL DE VAL-D'OR,"725 6E RUE, VAL-D'OR, QC, J9P 3Y1","0,1,2,3,4,6,7,8",ChIJLb80xg1T30wRJA6BY4Ly6eE,,Val-d'Or,CA,QC,J9P 2C9,+1 819-825-5858,,hospital,,48.1018506,-77.7986511,1745782710,hospital,0
Abitibi Temiscamingue,0155X,CENTRE MULTI SSS DE VILLE-MARIE,"22 NOTRE-DAME N, VILLE-MARIE, QC, J9V 1W8","1,2,3,4,6,7,8",ChIJA0oPPnh5IU0R6oY1vw_EGAY,,La Sarre,CA,QC,J9Z 2X7,+1 819-333-2311,,hospital,http://www.sante.gouv.qc.ca/en/repertoire-ressources/ressource/?nofiche=699,48.7864561,-79.198577,1745782710,hospital,0
Abitibi Temiscamingue,0460X,CENTRE MULTI SSS DE MACAMIC,"169 7E AVENUE E, MACAMIC, QC, J0Z 2S0","2,3,4,8",ChIJA0oPPnh5IU0R6oY1vw_EGAY,,La Sarre,CA,QC,J9Z 2X7,+1 819-333-2311,,hospital,http://www.sante.gouv.qc.ca/en/repertoire-ressources/ressource/?nofiche=699,48.7864561,-79.198577,1745782710,hospital,0
Abitibi Temiscamingue,0782X,CENTRE MULTI SSS DE SENNETERRE,"961 DE LA CLINIQUE CP 4000, SENNETERRE, QC, J0Y 2M0","1,3,4,7",ChIJG9BybJIW30wRPg2udXmJYmQ,,Senneterre,CA,QC,J0Y 2M0,+1 819-825-5858,,hospital,http://www.cisss-at.gouv.qc.ca/,48.3845597,-77.2529078,1745782710,hospital,0
Abitibi Temiscamingue,0817X,CSSS DE TEMISCAMING-ET-DE-KIPAWA,"180 ANVIK CP 760, TEMISCAMING, QC, J0Z 3R0","1,3,4,5,6,7",,,,,,,,,,,,,,,
Abitibi Temiscamingue,10115,MDA MA DE ROUYN-NORANDA,"1155 RUE PERREAULT E, ROUYN-NORANDA, QC, J9X 0C4",,ChIJRYnrMgAzIU0RgjTZQP2PuNk,,Rouyn-Noranda,CA,QC,J9X 0G8,+1 873-475-0168,,pharmacy,,48.238421,-78.98974199999999,1745782710,pharmacy,0
Abitibi Temiscamingue,10815,CHSLD DE LA SARRE,"22 1E AVENUE CP 1, LA SARRE, QC, J9Z 1C4",,ChIJA0oPPnh5IU0R6oY1vw_EGAY,,La Sarre,CA,QC,J9Z 2X7,+1 819-333-2311,,hospital,http://www.sante.gouv.qc.ca/en/repertoire-ressources/ressource/?nofiche=699,48.7864561,-79.198577,1745782710,hospital,0
Abitibi Temiscamingue,10923,CENTRE MULTI SSS L'ETAPE,"700 BOUL FOREST, VAL-D'OR, QC, J9P 2L3",,,,,,,,,,,,,,,,
Abitibi Temiscamingue,10933,CRDP ET CRDI-TSA D'AMOS,"841 3E RUE O, AMOS, QC, J9T 2T4",,,,,,,,,,,,,,,,
Abitibi Temiscamingue,11045,CHSLD DE MALARTIC,"987 RUE DES PINS CP 639, MALARTIC, QC, J0Y 1Z0",,ChIJc_hfxn6tIE0Rz6wItmfvifM,,Malartic,CA,QC,J0Y 1Z0,+1 819-825-5858,,hospital,https://www.sante.gouv.qc.ca/en/repertoire-ressources/ressource/?nofiche=954,48.14122889999999,-78.1286676,1745782710,hospital,0
Abitibi Temiscamingue,11515,CHSLD DE ROUYN-NORANDA,"512 AV RICHARD, ROUYN-NORANDA, QC, J9X 4M1",,ChIJRYnrMgAzIU0RgjTZQP2PuNk,,Rouyn-Noranda,CA,QC,J9X 0G8,+1 873-475-0168,,pharmacy,,48.238421,-78.98974199999999,1745782710,pharmacy,0
Abitibi Temiscamingue,12395,CHSLD D'AMOS,"612 5E AVENUE O, AMOS, QC, J9T 4L3",,ChIJr0l3eQCTIE0RinQqi7_fqa8,,Amos,CA,QC,J9T 1P5,,,hospital,,48.57587729999999,-78.1251729,1745782710,hospital,0
Abitibi Temiscamingue,12415,CHSLD DE VAL-D'OR,"1212 AV BREBEUF, VAL-D'OR, QC, J9P 2C9",,ChIJLb80xg1T30wRJA6BY4Ly6eE,,Val-d'Or,CA,QC,J9P 2C9,+1 819-825-5858,,hospital,,48.1018506,-77.7986511,1745782710,hospital,0
Abitibi Temiscamingue,12425,CHSLD PALMAROLLE,"136 PRINCIPALE E CP 70, PALMAROLLE, QC, J0Z 3C0",,,,,,,,,,,,,,,,
Abitibi Temiscamingue,14933,CRDP ET CRDI-TSA DE ROUYN-NORANDA,"100 CH DR LEMAY, ROUYN-NORANDA, QC, J9X 5T2",,ChIJRYnrMgAzIU0RgjTZQP2PuNk,,Rouyn-Noranda,CA,QC,J9X 0G8,+1 873-475-0168,,pharmacy,,48.238421,-78.98974199999999,1745782710,pharmacy,0
Abitibi Temiscamingue,15185,CHSLD DE VILLE-MARIE,"37 SAINT-JEAN-BAPTISTE S, VILLE-MARIE, QC, J9V 2A9",,ChIJW6SNTeLAlkwRBiGKa9WhM0M,,Matane,CA,QC,G4W 3A2,+1 418-562-4154,,hospital,,48.8409564,-67.5321025,1745782710,hospital,0
Abitibi Temiscamingue,15943,CRD D'AMOS,"621 RUE DE L'HARRICANA, AMOS, QC, J9T 2P9",,,,,,,,,,,,,,,,
Abitibi Temiscamingue,18513,SERVICES EXTERNES DE ROUYN-NORANDA,"1 9E RUE 2E ETAGE, ROUYN-NORANDA, QC, J9X 2A9",,ChIJK40IRaJBJk0RFifVvlYtO9s,,Ville-Marie,CA,QC,J9V 1W8,+1 819-629-2420,,hospital,https://www.cisss-at.gouv.qc.ca/,47.33327469999999,-79.44437010000001,1745782710,hospital,0
Abitibi Temiscamingue,18563,CLSC ET CRD DE VAL-D'OR,"735 RUE 6 IEME RUE, VAL-D'OR, QC, J9P 3Y1",,ChIJc_hfxn6tIE0Rz6wItmfvifM,,Malartic,CA,QC,J0Y 1Z0,+1 819-825-5858,,hospital,https://www.sante.gouv.qc.ca/en/repertoire-ressources/ressource/?nofiche=954,48.14122889999999,-78.1286676,1745782710,hospital,0
Abitibi Temiscamingue,19485,SNT GERMAIN-BIGUE,"735 6E RUE, VAL-D'OR, QC, J9P 3Y1",,,,,,,,,,,,,,,,
Abitibi Temiscamingue,19495,SNT CRDI AMOS,"841 3E RUE O, AMOS, QC, J9T 2T4",,,,,,,,,,,,,,,,
Abitibi Temiscamingue,19565,CHSLD LES SOURCES,"692 4E AVENUE O, AMOS, QC, J9T 0B7",,ChIJF5GkSC2TIE0RkPVXpWHT-84,,Amos,CA,QC,J9T 0B7,+1 819-727-9040 ext. 205,,hospital,,48.5750032,-78.12783689999999,1745782710,hospital,0
Abitibi Temiscamingue,19893,CRDP ET CRDI-TSA DE VAL-D'OR,"975 RUE E GERMAIN, VAL-D'OR, QC, J9P 7H7",,ChIJEwFLKQBT30wRBiHFjopfvn4,,Val-d'Or,CA,QC,J9P 0R5,+1 873-476-0150,,hospital,,48.09472419999999,-77.797958,1745782710,hospital,0
