region,code,name,address,ramq_billing_categories,google_place_name,locality,country,administrative_area_level_1,administrative_area_level_2,international_phone_number,type,website,latitude,longitude,added_time,place_type,fax_numbers,fax_keywords_en,fax_keywords_fr
Abitibi Temiscamingue,0077X,HOPITAL PSYCHIATRIQUE DE MALARTIC,"1141 RUE ROYALE CP 800, MALARTIC, QC, J0Y 1Z0","1,3,6,8",Hôpital en santé mentale et CLSC de Malartic,Malartic,CA,QC,J0Y 1Z0,+1 819-825-5858,hospital,https://www.sante.gouv.qc.ca/en/repertoire-ressources/ressource/?nofiche=954,48.14122889999999,-78.1286676,1745790598.0,hospital,18197574330,"[{""fax_number"": ""18197574330"", ""keyword_en"": ""Administrator""}]","[{""fax_number"": ""18197574330"", ""keyword_fr"": ""administrateur""}]"
Abitibi Temiscamingue,0150X,HOPITAL D'AMOS,"622 4E RUE O, AMOS, QC, J9T 2S2","0,1,2,3,4,6,7,8",Hôpital d’Amos,Amos,CA,QC,J9T 2S2,+1 819-732-3341,hospital,http://www.sante.gouv.qc.ca/en/repertoire-ressources/ressource/?nofiche=1208,48.5747602,-78.1254891,1745790598.0,hospital,"18197323056,18197326484","[{""fax_number"": ""18197323056"", ""keyword_en"": ""general inquiries reception/welcome""}, {""fax_number"": ""18197326484"", ""keyword_en"": ""medical archives""}]","[{""fax_number"": ""18197323056"", ""keyword_fr"": ""accueil""}, {""fax_number"": ""18197326484"", ""keyword_fr"": ""dossiers médicaux""}]"
Abitibi Temiscamingue,0152X,CENTRE MULTI SSS DE LA SARRE,"679 2E RUE CP 6000, LA SARRE, QC, J9Z 2X7","1,2,3,4,6,7,8",Centre Hospitalier De La Sarre,La Sarre,CA,QC,J9Z 2X7,+1 819-333-2311,hospital,http://www.sante.gouv.qc.ca/en/repertoire-ressources/ressource/?nofiche=699,48.7864561,-79.198577,1745790598.0,hospital,"18193332755,18193334316","[{""fax_number"": ""18193332755"", ""keyword_en"": ""819-333-2311""}, {""fax_number"": ""18193334316"", ""keyword_en"": ""819-333-2311""}]","[{""fax_number"": ""18193332755"", ""keyword_fr"": ""819-333-2311""}, {""fax_number"": ""18193334316"", ""keyword_fr"": ""819-333-2311""}]"
Abitibi Temiscamingue,0153X,HOPITAL DE ROUYN-NORANDA,"4 9E RUE, ROUYN-NORANDA, QC, J9X 2B2","0,1,2,3,4,6,7,8",Hospital of Rouyn-Noranda - Juteau-Lemay Building,Rouyn-Noranda,CA,QC,J9X 2B2,+1 819-764-5131,hospital,https://www.cisss-at.gouv.qc.ca/,48.2435816,-79.0194841,1745790598.0,hospital,"18197644211,18197644211,18197642927,18197621057","[{""fax_number"": ""18197644211"", ""keyword_en"": ""general inquiries""}, {""fax_number"": ""18197644211"", ""keyword_en"": ""general inquiries""}, {""fax_number"": ""18197642927"", ""keyword_en"": ""medical archives""}, {""fax_number"": ""18197621057"", ""keyword_en"": ""reception""}]","[{""fax_number"": ""18197644211"", ""keyword_fr"": ""renseignements généraux""}, {""fax_number"": ""18197644211"", ""keyword_fr"": ""renseignements généraux""}, {""fax_number"": ""18197642927"", ""keyword_fr"": ""dossiers médicaux""}, {""fax_number"": ""18197621057"", ""keyword_fr"": ""administration""}]"
Abitibi Temiscamingue,0154X,HOPITAL DE VAL-D'OR,"725 6E RUE, VAL-D'OR, QC, J9P 3Y1","0,1,2,3,4,6,7,8",Hôpital de Val-d’Or,Val-d'Or,CA,QC,J9P 3Y1,+1 819-825-5858,hospital,http://www.cisss-at.gouv.qc.ca/,48.0966532,-77.7964539,1745790598.0,hospital,"18198257919,18198257812,18198257921,18198257919","[{""fax_number"": ""18198257812"", ""keyword_en"": ""reception""}, {""fax_number"": ""18198257921"", ""keyword_en"": ""dossier m\u00e9dical""}, {""fax_number"": ""18198257919"", ""keyword_en"": ""unspecified/unknown department""}, {""fax_number"": ""18198257919"", ""keyword_en"": ""unspecified/unknown department""}]","[{""fax_number"": ""18198257812"", ""keyword_fr"": ""accueil""}, {""fax_number"": ""18198257921"", ""keyword_fr"": ""dossiers médicaux""}, {""fax_number"": ""18198257919"", ""keyword_fr"": ""renseignements généraux""}, {""fax_number"": ""18198257919"", ""keyword_fr"": ""renseignements généraux""}]"
Abitibi Temiscamingue,0155X,CENTRE MULTI SSS DE VILLE-MARIE,"22 NOTRE-DAME N, VILLE-MARIE, QC, J9V 1W8","1,2,3,4,6,7,8",Centre de Santé et de services sociaux du Lac-Témiscamingue,Ville-Marie,CA,QC,J9V 1W8,+1 819-629-2420,hospital,https://www.cisss-at.gouv.qc.ca/,47.33327469999999,-79.44437010000001,1745790598.0,hospital,,[],[]
Abitibi Temiscamingue,0460X,CENTRE MULTI SSS DE MACAMIC,"169 7E AVENUE E, MACAMIC, QC, J0Z 2S0","2,3,4,8",Clsc,Macamic,CA,QC,J0Z 2S0,+1 819-782-4661,hospital,,48.7531887,-78.9836365,1745790598.0,hospital,18197822400,"[{""fax_number"": ""18197822400"", ""keyword_en"": ""general inquiries""}]","[{""fax_number"": ""18197822400"", ""keyword_fr"": ""renseignements généraux""}]"
Abitibi Temiscamingue,0782X,CENTRE MULTI SSS DE SENNETERRE,"961 DE LA CLINIQUE CP 4000, SENNETERRE, QC, J0Y 2M0","1,3,4,7",Centre de santé de Senneterre,Senneterre,CA,QC,J0Y 2M0,+1 819-825-5858,hospital,http://www.cisss-at.gouv.qc.ca/,48.3845597,-77.2529078,1745790598.0,hospital,"18197373122,18197373122","[{""fax_number"": ""18197373122"", ""keyword_en"": ""reception/general inquiries""}, {""fax_number"": ""18197373122"", ""keyword_en"": ""reception / general inquiries""}]","[{""fax_number"": ""18197373122"", ""keyword_fr"": ""réception / renseignements généraux""}, {""fax_number"": ""18197373122"", ""keyword_fr"": ""réception / renseignements généraux""}]"
Abitibi Temiscamingue,0817X,CSSS DE TEMISCAMING-ET-DE-KIPAWA,"180 ANVIK CP 760, TEMISCAMING, QC, J0Z 3R0","1,3,4,5,6,7",Info-Sante Clsc-Cs,Temiscaming,CA,QC,J0Z 3R0,,hospital,,46.718235,-79.10011999999999,1745790598.0,hospital,18196279497,"[{""fax_number"": ""18196279497"", ""keyword_en"": ""general inquiries, administration""}]","[{""fax_number"": ""18196279497"", ""keyword_fr"": ""renseignements généraux, admin""}]"
Abitibi Temiscamingue,10115,MDA MA DE ROUYN-NORANDA,"1155 RUE PERREAULT E, ROUYN-NORANDA, QC, J9X 0C4",,Maison des aînés et alternative de Rouyn-Noranda (2022),Rouyn-Noranda,CA,QC,J9X 0G8,+1 873-475-0168,pharmacy,,48.238421,-78.98974199999999,1745790598.0,clinic,,[],[]
